id,date,floors,sqft_lot,price,padrao
6762700020,2014-10-13,2.5,27600,7700000.0,alto
9808700762,2014-06-11,2.0,37325,7062500.0,alto
9208900037,2014-09-19,2.0,31374,6885000.0,alto
2470100110,2014-08-04,2.0,35069,5570000.0,alto
8907500070,2015-04-13,2.0,23985,5350000.0,alto
7558700030,2015-04-13,2.0,24829,5300000.0,alto
1247600105,2014-10-20,2.0,45517,5110800.0,alto
1924059029,2014-06-17,1.0,13068,4668000.0,alto
7738500731,2014-08-15,2.0,40014,4500000.0,alto
3835500195,2014-06-18,2.0,27517,4489000.0,alto
6065300370,2015-05-06,2.0,21540,4208000.0,alto
6447300265,2014-10-14,2.0,16573,4000000.0,alto
8106100105,2014-11-14,2.0,21300,3850000.0,alto
2303900100,2014-09-11,2.0,35000,3800000.0,alto
853200010,2014-07-01,1.0,42840,3800000.0,alto
7397300170,2014-05-30,2.0,28078,3710000.0,alto
4217402115,2015-04-21,1.5,19401,3650000.0,alto
4389201095,2015-05-11,2.0,8694,3650000.0,alto
2425049063,2014-09-11,2.0,22257,3640900.0,alto
3625049042,2014-10-11,2.0,19897,3635000.0,alto
4114601570,2014-11-18,2.0,12431,3600000.0,alto
9253900271,2015-01-07,2.0,10584,3567000.0,alto
2525049148,2014-10-07,2.0,20412,3418800.0,alto
9362000040,2014-06-23,2.0,17826,3400000.0,alto
1118000320,2015-05-08,2.0,11765,3400000.0,alto
3126059023,2015-03-03,1.0,47870,3395000.0,alto
9808100150,2015-04-02,1.0,15360,3345000.0,alto
3625059152,2014-12-30,1.0,41300,3300000.0,alto
1346300150,2014-10-20,3.5,11750,3300000.0,alto
3625059043,2014-09-04,2.0,13873,3300000.0,alto
6072800246,2014-07-02,2.0,21738,3300000.0,alto
7524900003,2014-12-10,2.5,10000,3278000.0,alto
251500080,2014-08-26,2.0,18851,3204000.0,alto
1068000375,2014-09-23,2.5,18200,3200000.0,alto
624069108,2014-08-12,1.0,28206,3200000.0,alto
8964800890,2015-01-09,1.0,13363,3200000.0,alto
7159200005,2014-05-07,2.5,8856,3200000.0,alto
3025059124,2014-08-28,1.0,11979,3168750.0,alto
333100295,2014-11-24,2.0,56609,3120000.0,alto
2424049029,2014-05-29,3.0,15682,3100000.0,alto
4131900066,2014-08-25,2.0,13085,3100000.0,alto
3025059093,2014-07-29,2.0,23669,3100000.0,alto
3225069065,2014-06-24,1.0,18641,3075000.0,alto
3760500116,2014-11-20,1.0,55867,3070000.0,alto
1732800780,2015-02-12,2.5,7500,3065000.0,alto
1118000340,2015-04-08,2.0,11265,3000000.0,alto
3761100045,2014-06-18,2.0,12445,3000000.0,alto
518500480,2014-08-11,2.0,10756,3000000.0,alto
8964800330,2015-04-07,1.0,14823,3000000.0,alto
9808100100,2015-02-02,2.0,14091,3000000.0,alto
1925059254,2015-05-07,2.0,16481,2998000.0,alto
